CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
1076747|476620|731205,Release Offer,Release Offer,28/5/2019 16:01:50,20 days 21 hours 20 minutes 11 seconds,1804811.0
1076747|476620|731205,Assessment Decision - Qualified,Assessment Decision - Qualified,18/6/2019 13:22:01,0 days 0 hours 1 minutes 34 seconds,94.0
1076747|476620|731205,Assessment Decision - Qualified,Assessment Decision - Qualified,18/6/2019 13:23:35,0 days 0 hours 0 minutes 48 seconds,48.0
1076747|476620|731205,Assessment Decision - Qualified,Assessment Decision - Qualified,18/6/2019 13:24:23,22 days 9 hours 32 minutes 33 seconds,1935153.0
1076747|476620|731205,Accept,Accept,10/7/2019 22:56:56,NA,0.0
1051435|400572|622536,Release Offer,Release Offer,23/10/2018 9:31:01,9 days 9 hours 39 minutes 52 seconds,812392.0
1051435|400572|622536,Accept,Accept,1/11/2018 19:10:53,NA,0.0
1091807|456907|701632,Release Offer,Release Offer,21/5/2019 15:07:06,NA,0.0
1077871|514419|788956,Release Offer,Release Offer,2/11/2019 11:46:26,2 days 21 hours 55 minutes 47 seconds,251747.0
1077871|514419|788956,AR - Satisfied - syllabus,AR - Satisfied - Official syllabus or subject descriptions (in English),5/11/2019 9:42:13,1 days 5 hours 32 minutes 40 seconds,106360.0
1077871|514419|788956,Manage Acceptance,Manage Acceptance,6/11/2019 15:14:53,0 days 0 hours 0 minutes 0 seconds,0.0
1077871|514419|788956,Accept,Accept,6/11/2019 15:14:53,NA,0.0
1117605|488390|749984,Release Offer,Release Offer,14/6/2019 12:51:09,24 days 6 hours 12 minutes 21 seconds,2095941.0
1117605|488390|749984,Accept,Accept,8/7/2019 19:03:30,NA,0.0
1023330|363366|566519,Release Offer,Release Offer,25/6/2018 14:16:16,2 days 2 hours 38 minutes 24 seconds,182304.0
1023330|363366|566519,Accept,Accept,27/6/2018 16:54:40,NA,0.0
646614|368974|575718,Release Offer,Release Offer,5/7/2018 12:08:56,70 days 3 hours 9 minutes 47 seconds,6059387.0
646614|368974|575718,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),13/9/2018 15:18:43,NA,0.0
903597|379818|591703,Release Offer,Release Offer,16/8/2018 13:29:42,23 days 19 hours 35 minutes 14 seconds,2057714.0
903597|379818|591703,Accept,Accept,9/9/2018 9:04:56,NA,0.0
1151280|534643|818234,Release Offer,Release Offer,9/1/2020 12:07:27,4 days 1 hours 57 minutes 18 seconds,352638.0
1151280|534643|818234,Accept,Accept,13/1/2020 14:04:45,NA,0.0
1112743|481938|739342,Release Offer,Release Offer,6/8/2019 15:09:16,0 days 2 hours 23 minutes 15 seconds,8595.0
1112743|481938|739342,Accept,Accept,6/8/2019 17:32:31,NA,0.0
1054060|410058|635915,Release Offer,Release Offer,18/12/2018 12:22:35,24 days 1 hours 59 minutes 24 seconds,2080764.0
1054060|410058|635915,OC - Satisfied - Other,OC - Satisfied - English language requirements,11/1/2019 14:21:59,NA,0.0
939534|414919|643183,Release Offer,Release Offer,10/12/2018 10:07:21,3 days 9 hours 25 minutes 1 seconds,293101.0
939534|414919|643183,Decline,Decline,13/12/2018 19:32:22,NA,0.0
1030385|372914|581495,Release Offer,Release Offer,10/8/2018 12:34:05,NA,0.0
1150349|533218|815876,Release Offer,Release Offer,2/11/2019 17:15:56,0 days 16 hours 18 minutes 23 seconds,58703.0
1150349|533218|815876,Accept,Accept,3/11/2019 9:34:19,NA,0.0
1161800|550469|858702,Release Offer,Release Offer,19/12/2019 17:21:22,NA,0.0
